givenName,sn,sAMAccountName,password,ou,department,title
Pepper,Potts,p.potts,Potts123,"OU=Operations,DC=corp,DC=globexpower,DC=com",Operations,CEO
Carol,Danvers,c.danvers,Danvers123,"OU=Operations,DC=corp,DC=globexpower,DC=com",Operations,COO
King,TChalla,k.tchalla,Tchalla123,"OU=Operations,DC=corp,DC=globexpower,DC=com",Operations,"VP, Retail West"
Princess,Shuri,p.shuri,Shuri123,"OU=Operations,DC=corp,DC=globexpower,DC=com",Operations,"VP, Retail East"
Peggy,Carter,p.carter,Carter123,"OU=Operations,DC=corp,DC=globexpower,DC=com",Operations,Regional Manager
Steve,Evans,s.evans,Evans123,"OU=Operations,DC=corp,DC=globexpower,DC=com",Operations,Regional Manager
Bucky,Barnes,b.barnes,Barnes123,"OU=Operations,DC=corp,DC=globexpower,DC=com",Operations,Regional Manager
Sam,Wilson,s.wilson,Wilson123,"OU=Operations,DC=corp,DC=globexpower,DC=com",Operations,Regional Manager
Jane,Foster,j.foster,Foster123,"OU=Marketing,DC=corp,DC=globexpower,DC=com",Marketing,CMO
Thor,Odinson,t.odinson,Odinson123,"OU=Marketing,DC=corp,DC=globexpower,DC=com",Marketing,Sr.Manager
Brunnhilde,Valkyrie,b.valkyrie,Valkyrie123,"OU=Marketing,DC=corp,DC=globexpower,DC=com",Marketing,Sr.Manager
Loke,Laufeyson,l.laufeyson,Laufeyson123,"OU=Marketing,DC=corp,DC=globexpower,DC=com",Marketing,Sr.Manager
Nick,Fury,n.fury,Fury123,"OU=Finance,DC=corp,DC=globexpower,DC=com",Finance,CFO
Peter,Quill,p.quill,Quill123,"OU=Finance,DC=corp,DC=globexpower,DC=com",Finance,Sr.Auditor
Yondy,Udonta,y.udonta,Udonta123,"OU=Finance,DC=corp,DC=globexpower,DC=com",Finance,Sr.Accountant
Rocket,Racoon,r.racoon,Racoon123,"OU=Finance,DC=corp,DC=globexpower,DC=com",Finance,Jr.Accountant
Iam,Groot,i.groot,Groot123,"OU=Finance,DC=corp,DC=globexpower,DC=com",Finance,APAdmin
Bruce,Banner,b.banner,Banner123,"OU=Human Resources,DC=corp,DC=globexpower,DC=com",HR,VPHR
Clint,Barton,c.barton,Barton123,"OU=Human Resources,DC=corp,DC=globexpower,DC=com",HR,Director Talent Acquistion
James,Rhodes,j.rhodes,Rhodes123,"OU=Human Resources,DC=corp,DC=globexpower,DC=com",HR,Manager Training and Dev.
Phillip,Coulson,p.coulson,Coulson123,"OU=Human Resources,DC=corp,DC=globexpower,DC=com",HR,HR Business Partner
Tony,Stark,t.stark,Stark123,"OU=IT,DC=corp,DC=globexpower,DC=com",IT,CIO
Hope,Dyn,h.dyn,Dyn12345,"OU=IT,DC=corp,DC=globexpower,DC=com",IT,CTO
Hank,Pim,h.pim,Pim12345,"OU=IT,DC=corp,DC=globexpower,DC=com",IT,Sr.Engineer
Scott,Lang,s.lang,Lang123,"OU=IT,DC=corp,DC=globexpower,DC=com",IT,Frontend Dev.
Peter,Parker,p.parker,Parker123,"OU=IT,DC=corp,DC=globexpower,DC=com",IT,Backend Dev.
Natasha,Richardson,n.richardson,Richardson123,"OU=ITSec,DC=corp,DC=globexpower,DC=com",ITSec,CISO
Maria,Hill,m.hill,Hill123,"OU=ITSec,DC=corp,DC=globexpower,DC=com",ITSec,Director Info. Sec.
Happy,Hogan,h.hogan,Hogan123,"OU=ITSec,DC=corp,DC=globexpower,DC=com",ITSec,Facilities Manager
Pietro,Maximoff,p.maximoff,Maximoff123,"OU=ITSec,DC=corp,DC=globexpower,DC=com",ITSec,Defensive Sec. Team
Wanda,Maximoff,w.maximoff,Maximoff123,"OU=ITSec,DC=corp,DC=globexpower,DC=com",ITSec,Offensive Se. Team
